"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"114",30,"higherDR",3,40,14.6,40,-0.0268898145464746,-0.0105122800538491,0.00679725371439174,0.00331072669323327
"115",30,"higherDR",3,40,14.6,50,-0.0176167118873285,-0.00524932098362019,0.00485844589583842,0.00246167174352304
"116",30,"higherDR",3,40,14.6,60,-0.0119736137800019,-0.00326627284041813,0.00396496622424819,0.00209387619208779
"117",30,"higherDR",3,40,14.6,70,-0.00914642255616492,-0.00363655067890352,0.00321952726241888,0.00174280667790473
"118",30,"higherDR",3,40,14.6,80,-0.00603819391744746,-0.0025566475964898,0.00277289880766836,0.00150868981643946
"119",30,"higherDR",3,40,14.6,90,-0.00423284473082572,-0.00245334171280187,0.00237292412094563,0.00129341283653325
"120",30,"higherDR",3,40,14.6,100,-0.0039630053038296,-0.00170607370456185,0.00210406352510768,0.00116003382730832
"121",30,"lowerDR",1,35.2,30.2,10,-0.0187400059883021,-0.150968384464919,0.0275291278613016,0.0184459426461657
"122",30,"lowerDR",1,35.2,30.2,20,-0.0149956791940031,-0.0905526944554566,0.0125145053391687,0.014999447410246
"123",30,"lowerDR",1,35.2,30.2,30,-0.00328097815506338,-0.0559014300221423,0.00679833313492304,0.00783415585959894
"124",30,"lowerDR",1,35.2,30.2,40,-0.00416222938162798,-0.0440261939149153,0.00499817258367293,0.00498664192584808
"125",30,"lowerDR",1,35.2,30.2,50,-0.00273301232293739,-0.0373623890210734,0.00375112823034588,0.00365611446853676
"126",30,"lowerDR",1,35.2,30.2,60,-0.00271663955240895,-0.033589116244734,0.00307436909630966,0.00287870203287038
"127",30,"lowerDR",1,35.2,30.2,70,-0.00138635814453593,-0.030528896492712,0.00257010669942935,0.00249355280976753
"128",30,"lowerDR",1,35.2,30.2,80,-0.00116771060222474,-0.0271363670868696,0.00227019702607157,0.00218691691991703
"129",30,"lowerDR",1,35.2,30.2,90,-0.00074053899979102,-0.0247758608960555,0.0019780245968973,0.001886363304936
"130",30,"lowerDR",1,35.2,30.2,100,-0.000283130521456261,-0.0236006344090076,0.0017891147417842,0.00170753470412613
"131",30,"lowerDR",3,35.1,30.2,10,0.0281137380084427,-0.148137175515026,0.0280898784961777,0.0122590118164663
"132",30,"lowerDR",3,35.1,30.2,20,-0.00136857739968025,-0.124331302346942,0.0144562633969803,0.010128626400365
"133",30,"lowerDR",3,35.1,30.2,30,0.00600019919310522,-0.0790300300052637,0.0073978815768672,0.00743526594466858
"134",30,"lowerDR",3,35.1,30.2,40,0.0108822660859693,-0.0483577684050027,0.00476619533378542,0.00542443781792965
"135",30,"lowerDR",3,35.1,30.2,50,0.00912473601549792,-0.0354050092896182,0.00343439055058647,0.00386180633073737
"136",30,"lowerDR",3,35.1,30.2,60,0.0070460257875858,-0.0279229635735767,0.0027900722730345,0.00301433091947497
"137",30,"lowerDR",3,35.1,30.2,70,0.00638003362990403,-0.0219133329550775,0.00229645973022493,0.00242925343543769
"138",30,"lowerDR",3,35.1,30.2,80,0.00534889097920747,-0.0195644398304314,0.00201836439347844,0.00213652364471033
"139",30,"lowerDR",3,35.1,30.2,90,0.00368779664382094,-0.0171297063949251,0.00183990863807772,0.00189017861190972
"140",30,"lowerDR",3,35.1,30.2,100,0.00246340609463706,-0.0160395827315167,0.00168808482186018,0.00167695089848936
"141",30,"lowerDR",5,35.6,30.2,10,0.0623374984003145,-0.12016319124532,0.0269733941724852,0.0178224432044122
"142",30,"lowerDR",5,35.6,30.2,20,0.0118676335797346,-0.119677704977601,0.0165112866194742,0.0107698162929773
"143",30,"lowerDR",5,35.6,30.2,30,0.0146416508442901,-0.0888387556100443,0.00946400011854576,0.00756165785604659
"144",30,"lowerDR",5,35.6,30.2,40,0.0164743950248855,-0.0626776757173434,0.00573567788400539,0.00579726476343247
"145",30,"lowerDR",5,35.6,30.2,50,0.0177468520097089,-0.041933132572353,0.00433743569388555,0.00438628168862964
"146",30,"lowerDR",5,35.6,30.2,60,0.015123641363327,-0.0324849886370172,0.00327400766410529,0.00350723358092722
"147",30,"lowerDR",5,35.6,30.2,70,0.0138223454366921,-0.0267243455677146,0.00275142078614961,0.0030166435740949
"148",30,"lowerDR",5,35.6,30.2,80,0.0115056867813996,-0.0232196344821833,0.00220532291997217,0.00249430742867692
"149",30,"lowerDR",5,35.6,30.2,90,0.00981544623325507,-0.0204935833647103,0.00197700438111321,0.00215558393084573
"150",30,"lowerDR",5,35.6,30.2,100,0.00833419148161296,-0.0172586874646042,0.00176822409733126,0.00198252629700912
"151",30,"null",1,50.2,30.3,10,-0.0909183854037778,-0.130559608083771,0.0329581071419038,0.0231500655789191
"152",30,"null",1,50.2,30.3,20,-0.0600084839133846,-0.0704965389917846,0.0163816757145483,0.0173113541298968
"153",30,"null",1,50.2,30.3,30,-0.0359248974956379,-0.0418860811962442,0.00999995390413215,0.00992560856141827
"154",30,"null",1,50.2,30.3,40,-0.0272947531097855,-0.0330082563606375,0.0074667309409566,0.00606981809214823
"155",30,"null",1,50.2,30.3,50,-0.0205729795138122,-0.0306551212416361,0.0059660185282114,0.00436537614631155
"156",30,"null",1,50.2,30.3,60,-0.0170130308506874,-0.0278311486164054,0.00482023455885275,0.00344308805224553
"157",30,"null",1,50.2,30.3,70,-0.0120006756002519,-0.0269086725534716,0.00406519514072509,0.00284726262057604
"158",30,"null",1,50.2,30.3,80,-0.0100561681296035,-0.0254082113013708,0.00352419589104705,0.0024618780835703
"159",30,"null",1,50.2,30.3,90,-0.00974982517629228,-0.0246499002328633,0.00314283301993464,0.00228237088527901
"160",30,"null",1,50.2,30.3,100,-0.00802373448485259,-0.0236537918844173,0.00276303656347993,0.00216334449906027
