"","dlttarget","situation","targetdose","truedrprob_targetdose","truedltprob_targetdose","n","dr_bias","dlt_bias","dr_variance","dlt_variance"
"28",20,"higherDR",3,30,9.2,80,0.144848403254491,0.0540176798320472,0.0104185702623382,0.00344727191481152
"29",20,"higherDR",3,30,9.2,90,0.138380653651365,0.0512762291407455,0.00927435231186032,0.00290830001627989
"30",20,"higherDR",3,30,9.2,100,0.131517320567535,0.0488500255775848,0.00821464227053167,0.00246721377803775
"31",20,"lowerDR",1,25,20.2,10,0.229953473729454,-0.0338428128288841,0.00789103466482815,0.00476814187102645
"32",20,"lowerDR",1,25,20.2,20,0.0953533229255018,-0.0568137191000479,0.0087347453643927,0.00683289715868204
"33",20,"lowerDR",1,25,20.2,30,0.0368155894392405,-0.0579948654208991,0.00726861688626727,0.00505334280790419
"34",20,"lowerDR",1,25,20.2,40,0.00924243332624454,-0.0523230182240996,0.00558476138264078,0.00358014115481343
"35",20,"lowerDR",1,25,20.2,50,-0.00909005364468885,-0.0532572578559119,0.0047503812928569,0.00280235201332215
"36",20,"lowerDR",1,25,20.2,60,-0.0215090421553532,-0.0540776774487121,0.00395778531608622,0.00225843305476373
"37",20,"lowerDR",1,25,20.2,70,-0.0293042363579093,-0.0550436160651964,0.0035396814458852,0.00208727034957652
"38",20,"lowerDR",1,25,20.2,80,-0.0356304111240816,-0.0561234076138985,0.00334406168441989,0.00196555994224939
"39",20,"lowerDR",1,25,20.2,90,-0.040846292777951,-0.0573151195178456,0.0031341628769171,0.00188786917447508
"40",20,"lowerDR",1,25,20.2,100,-0.0454699547754087,-0.0584599884163792,0.00283100901390795,0.00173279921492027
"41",20,"lowerDR",3,25,20,10,0.410290102651014,0.054381956988715,0.00871860331550633,0.00859489141025343
"42",20,"lowerDR",3,25,20,20,0.251210842312588,0.00459516623963683,0.0180969212112639,0.010848315561542
"43",20,"lowerDR",3,25,20,30,0.166036582774843,-0.00364416881970001,0.0161354555201732,0.00840238007243335
"44",20,"lowerDR",3,25,20,40,0.119832516980209,-0.00301464653886608,0.0123706944320919,0.00677096835495334
"45",20,"lowerDR",3,25,20,50,0.0895383796874124,-0.000533407406136882,0.00920450377214811,0.00515694321644877
"46",20,"lowerDR",3,25,20,60,0.0682869175927453,-0.00199324148230487,0.00735299411373413,0.00434065093831695
"47",20,"lowerDR",3,25,20,70,0.0516385963119711,-0.00341328454007809,0.00565213583013029,0.00333663595959712
"48",20,"lowerDR",3,25,20,80,0.0397335285625636,-0.00502301713387826,0.00467356543518012,0.00280543867308447
